No,ENZY_ACC_ID,ENZYME,E3_GN,E3_Alias,E3_PN,SUB_ACC_ID,SUBSTRATE,SUB_GENE,SUB_Alias,SUB_PN,E3_ORGANISM,SUB_ORGANISM,PMID
1467,P15918,RAG1_HUMAN,RAG1,RAG1~~RNF74,V~~DJ recombination-activating protein 1~~RAG-1~~RING finger protein 74 [Includes: Endonuclease RAG1 ; E3 ubiquitin-protein ligase RAG1 ~~RING-type E3 ubiquitin transferase RAG1],P15918,RAG1_HUMAN,RAG1,RAG1~~RNF74,V~~DJ recombination-activating protein 1~~RAG-1~~RING finger protein 74 [Includes: Endonuclease RAG1 ; E3 ubiquitin-protein ligase RAG1 ~~RING-type E3 ubiquitin transferase RAG1],Homo sapiens (Human),Homo sapiens (Human),14671314
1468,Q9NV58,RN19A_HUMAN,RNF19A,RNF19A~~RNF19,E3 ubiquitin-protein ligase RNF19A ~~Double ring-finger protein~~Dorfin~~RING finger protein 19A~~p38,P41180,CASR_HUMAN,CASR,CASR~~GPRC2A~~PCAR1,Extracellular calcium-sensing receptor ~~CaR~~CaSR~~hCasR~~Parathyroid cell calcium-sensing receptor 1~~PCaR1,Homo sapiens (Human),Homo sapiens (Human),16513638
1469,Q13489,BIRC3_HUMAN,BIRC3,BIRC3~~API2~~MIHC~~RNF49,Baculoviral IAP repeat-containing protein 3 ~~Apoptosis inhibitor 2~~API2~~Cellular inhibitor of apoptosis 2~~C-IAP2~~IAP homolog C~~Inhibitor of apoptosis protein 1~~hIAP-1~~hIAP1~~RING finger protein 49~~RING-type E3 ubiquitin transferase BIRC3~~TNFR2-TRAF-signaling complex protein 1,Q99558,M3K14_HUMAN,MAP3K14,MAP3K14~~NIK,Mitogen-activated protein kinase kinase kinase 14 ~~NF-kappa-beta-inducing kinase~~HsNIK~~Serine/threonine-protein kinase NIK,Homo sapiens (Human),Homo sapiens (Human),18022362
1470,Q13309,SKP2_HUMAN,SKP2,SKP2~~FBXL1,S-phase kinase-associated protein 2 ~~Cyclin-A/CDK2-associated protein p45~~F-box protein Skp2~~F-box/LRR-repeat protein 1~~p45skp2,Q01094,E2F1_HUMAN,E2F1,E2F1~~RBBP3,Transcription factor E2F1 ~~E2F-1~~PBR3~~Retinoblastoma-associated protein 1~~RBAP-1~~Retinoblastoma-binding protein 3~~RBBP-3~~pRB-binding protein E2F-1,Homo sapiens (Human),Homo sapiens (Human),10559858
1471,Q8IUQ4,SIAH1_HUMAN,SIAH1,SIAH1~~HUMSIAH,E3 ubiquitin-protein ligase SIAH1 ~~RING-type E3 ubiquitin transferase SIAH1~~Seven in absentia homolog 1~~Siah-1~~Siah-1a,Q14807,KIF22_HUMAN,KIF22,KIF22~~KID~~KNSL4,Kinesin-like protein KIF22 ~~Kinesin-like DNA-binding protein~~Kinesin-like protein 4,Homo sapiens (Human),Homo sapiens (Human),20144232
1472,Q9C040,TRIM2_HUMAN,TRIM2,TRIM2~~KIAA0517~~RNF86,Tripartite motif-containing protein 2 ~~E3 ubiquitin-protein ligase TRIM2~~RING finger protein 86~~RING-type E3 ubiquitin transferase TRIM2,P07196,NFL_HUMAN,NEFL,NEFL~~NF68~~NFL,Neurofilament light polypeptide ~~NF-L~~68 kDa neurofilament protein~~Neurofilament triplet L protein,Homo sapiens (Human),Homo sapiens (Human),18687884
1473,O43255,SIAH2_HUMAN,SIAH2,SIAH2,E3 ubiquitin-protein ligase SIAH2 ~~RING-type E3 ubiquitin transferase SIAH2~~Seven in absentia homolog 2~~Siah-2~~hSiah2,Q92844,TANK_HUMAN,TANK,TANK~~ITRAF~~TRAF2,TRAF family member-associated NF-kappa-B activator ~~TRAF-interacting protein~~I-TRAF,Homo sapiens (Human),Homo sapiens (Human),22199232
1474,Q96PU5,NED4L_HUMAN,NEDD4L,NEDD4L~~KIAA0439~~NEDL3,E3 ubiquitin-protein ligase NEDD4-like ~~HECT-type E3 ubiquitin transferase NED4L~~NEDD4.2~~Nedd4-2,P36897,TGFR1_HUMAN,TGFBR1,TGFBR1~~ALK5~~SKR4,TGF-beta receptor type-1 ~~TGFR-1 ~~Activin A receptor type II-like protein kinase of 53kD~~Activin receptor-like kinase 5~~ALK-5~~ALK5~~Serine/threonine-protein kinase receptor R4~~SKR4~~TGF-beta type I receptor~~Transforming growth factor-beta receptor type I~~TGF-beta receptor type I~~TbetaR-I,Homo sapiens (Human),Homo sapiens (Human),15496141
1475,Q9BYM8,HOIL1_HUMAN,RBCK1,RBCK1~~C20orf18~~RNF54~~UBCE7IP3~~XAP3~~XAP4,RanBP-type and C3HC4-type zinc finger-containing protein 1 ~~HBV-associated factor 4~~Heme-oxidized IRP2 ubiquitin ligase 1~~HOIL-1~~Hepatitis B virus X-associated protein 4~~RING finger protein 54~~RING-type E3 ubiquitin transferase HOIL-1~~Ubiquitin-conjugating enzyme 7-interacting protein 3,Q9NYJ8,TAB2_HUMAN,TAB2,TAB2~~KIAA0733~~MAP3K7IP2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 ~~Mitogen-activated protein kinase kinase kinase 7-interacting protein 2~~TAK1-binding protein 2~~TAB-2~~TGF-beta-activated kinase 1-binding protein 2,Homo sapiens (Human),Homo sapiens (Human),17449468
1476,Q96EP1,CHFR_HUMAN,CHFR,CHFR~~RNF196,E3 ubiquitin-protein ligase CHFR ~~Checkpoint with forkhead and RING finger domains protein~~RING finger protein 196~~RING-type E3 ubiquitin transferase CHFR,O14965,AURKA_HUMAN,AURKA,AURKA~~AIK~~AIRK1~~ARK1~~AURA~~AYK1~~BTAK~~IAK1~~STK15~~STK6,Aurora kinase A ~~Aurora 2~~Aurora/IPL1-related kinase 1~~ARK-1~~Aurora-related kinase 1~~hARK1~~Breast tumor-amplified kinase~~Serine/threonine-protein kinase 15~~Serine/threonine-protein kinase 6~~Serine/threonine-protein kinase aurora-A,Homo sapiens (Human),Homo sapiens (Human),18335050
1477,Q9UPQ7,PZRN3_HUMAN,PDZRN3,PDZRN3~~KIAA1095~~LNX3~~SEMCAP3,E3 ubiquitin-protein ligase PDZRN3 ~~Ligand of Numb protein X 3~~PDZ domain-containing RING finger protein 3~~RING-type E3 ubiquitin transferase PDZRN3~~Semaphorin cytoplasmic domain-associated protein 3~~Protein SEMACAP3,O15146,MUSK_HUMAN,MUSK,MUSK,"Muscle, skeletal receptor tyrosine-protein kinase ~~Muscle-specific tyrosine-protein kinase receptor~~MuSK~~Muscle-specific kinase receptor",Homo sapiens (Human),Homo sapiens (Human),17576800
1478,Q7Z419,R144B_HUMAN,RNF144B,RNF144B~~IBRDC2~~P53RFP,E3 ubiquitin-protein ligase RNF144B ~~IBR domain-containing protein 2~~RING finger protein 144B~~p53-inducible RING finger protein,P38936,CDN1A_HUMAN,CDKN1A,CDKN1A~~CAP20~~CDKN1~~CIP1~~MDA6~~PIC1~~SDI1~~WAF1,Cyclin-dependent kinase inhibitor 1 ~~CDK-interacting protein 1~~Melanoma differentiation-associated protein 6~~MDA-6~~p21,Homo sapiens (Human),Homo sapiens (Human),12853982
1479,Q86YJ5,MARH9_HUMAN,MARCHF9,MARCHF9~~MARCH9~~RNF179,E3 ubiquitin-protein ligase MARCHF9 ~~Membrane-associated RING finger protein 9~~Membrane-associated RING-CH protein IX~~MARCH-IX~~RING finger protein 179~~RING-type E3 ubiquitin transferase MARCHF9,P05362,ICAM1_HUMAN,ICAM1,ICAM1,Intercellular adhesion molecule 1 ~~ICAM-1~~Major group rhinovirus receptor~~CD antigen CD54,Homo sapiens (Human),Homo sapiens (Human),17174307
1480,Q9UHC7,MKRN1_HUMAN,MKRN1,MKRN1~~RNF61,E3 ubiquitin-protein ligase makorin-1 ~~RING finger protein 61~~RING-type E3 ubiquitin transferase makorin-1,O14746,TERT_HUMAN,TERT,TERT~~EST2~~TCS1~~TRT,Telomerase reverse transcriptase ~~HEST2~~Telomerase catalytic subunit~~Telomerase-associated protein 2~~TP2,Homo sapiens (Human),Homo sapiens (Human),15805468
1481,Q9BYM8,HOIL1_HUMAN,RBCK1,RBCK1~~C20orf18~~RNF54~~UBCE7IP3~~XAP3~~XAP4,RanBP-type and C3HC4-type zinc finger-containing protein 1 ~~HBV-associated factor 4~~Heme-oxidized IRP2 ubiquitin ligase 1~~HOIL-1~~Hepatitis B virus X-associated protein 4~~RING finger protein 54~~RING-type E3 ubiquitin transferase HOIL-1~~Ubiquitin-conjugating enzyme 7-interacting protein 3,Q14653,IRF3_HUMAN,IRF3,IRF3,Interferon regulatory factor 3 ~~IRF-3,Homo sapiens (Human),Homo sapiens (Human),18711448
1482,Q9P253,VPS18_HUMAN,VPS18,VPS18~~KIAA1475,Vacuolar protein sorting-associated protein 18 homolog ~~hVPS18,Q9NYY3,PLK2_HUMAN,PLK2,PLK2~~SNK,Serine/threonine-protein kinase PLK2 ~~Polo-like kinase 2~~PLK-2~~hPlk2~~Serine/threonine-protein kinase SNK~~hSNK~~Serum-inducible kinase,Homo sapiens (Human),Homo sapiens (Human),16203730
1483,Q9UKV5,AMFR_HUMAN,AMFR,AMFR~~RNF45,E3 ubiquitin-protein ligase AMFR ~~Autocrine motility factor receptor~~AMF receptor~~RING finger protein 45~~RING-type E3 ubiquitin transferase AMFR~~gp78,P04234,CD3D_HUMAN,CD3D,CD3D~~T3D,T-cell surface glycoprotein CD3 delta chain ~~T-cell receptor T3 delta chain~~CD antigen CD3d,Homo sapiens (Human),Homo sapiens (Human),11724934
1484,Q13489,BIRC3_HUMAN,BIRC3,BIRC3~~API2~~MIHC~~RNF49,Baculoviral IAP repeat-containing protein 3 ~~Apoptosis inhibitor 2~~API2~~Cellular inhibitor of apoptosis 2~~C-IAP2~~IAP homolog C~~Inhibitor of apoptosis protein 1~~hIAP-1~~hIAP1~~RING finger protein 49~~RING-type E3 ubiquitin transferase BIRC3~~TNFR2-TRAF-signaling complex protein 1,Q13077,TRAF1_HUMAN,TRAF1,TRAF1~~EBI6,TNF receptor-associated factor 1 ~~Epstein-Barr virus-induced protein 6,Homo sapiens (Human),Homo sapiens (Human),15468071
1485,P22681,CBL_HUMAN,CBL,CBL~~CBL2~~RNF55,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING finger protein 55~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,P46109,CRKL_HUMAN,CRKL,CRKL,Crk-like protein,Homo sapiens (Human),Homo sapiens (Human),12671687
1486,Q9HAU4,SMUF2_HUMAN,SMURF2,SMURF2,E3 ubiquitin-protein ligase SMURF2 ~~hSMURF2 ~~HECT-type E3 ubiquitin transferase SMURF2~~SMAD ubiquitination regulatory factor 2~~SMAD-specific E3 ubiquitin-protein ligase 2,Q9HCE7,SMUF1_HUMAN,SMURF1,SMURF1~~KIAA1625,E3 ubiquitin-protein ligase SMURF1 ~~hSMURF1 ~~HECT-type E3 ubiquitin transferase SMURF1~~SMAD ubiquitination regulatory factor 1~~SMAD-specific E3 ubiquitin-protein ligase 1,Homo sapiens (Human),Homo sapiens (Human),16373342
1487,Q96PM5,ZN363_HUMAN,RCHY1,RCHY1~~ARNIP~~CHIMP~~PIRH2~~RNF199~~ZNF363,RING finger and CHY zinc finger domain-containing protein 1 ~~Androgen receptor N-terminal-interacting protein~~CH-rich-interacting match with PLAG1~~E3 ubiquitin-protein ligase Pirh2~~RING finger protein 199~~RING-type E3 ubiquitin transferase RCHY1~~Zinc finger protein 363~~p53-induced RING-H2 protein~~hPirh2,Q13547,HDAC1_HUMAN,HDAC1,HDAC1~~RPD3L1,Histone deacetylase 1 ~~HD1 ,Homo sapiens (Human),Homo sapiens (Human),18344599
1488,Q9H4P4,RNF41_HUMAN,RNF41,RNF41~~FLRF~~NRDP1~~SBBI03,E3 ubiquitin-protein ligase NRDP1 ~~RING finger protein 41~~RING-type E3 ubiquitin transferase NRDP1,Q9H4P4,RNF41_HUMAN,RNF41,RNF41~~FLRF~~NRDP1~~SBBI03,E3 ubiquitin-protein ligase NRDP1 ~~RING finger protein 41~~RING-type E3 ubiquitin transferase NRDP1,Homo sapiens (Human),Homo sapiens (Human),15314180
1489,Q149N8,SHPRH_HUMAN,SHPRH,SHPRH~~KIAA2023,"E3 ubiquitin-protein ligase SHPRH ~~ ~~RING-type E3 ubiquitin transferase SHPRH~~SNF2, histone-linker, PHD and RING finger domain-containing helicase",P12004,PCNA_HUMAN,PCNA,PCNA,Proliferating cell nuclear antigen ~~PCNA~~Cyclin,Homo sapiens (Human),Homo sapiens (Human),17130289
1490,Q96PU5,NED4L_HUMAN,NEDD4L,NEDD4L~~KIAA0439~~NEDL3,E3 ubiquitin-protein ligase NEDD4-like ~~HECT-type E3 ubiquitin transferase NED4L~~NEDD4.2~~Nedd4-2,Q07912,ACK1_HUMAN,TNK2,TNK2~~ACK1,Activated CDC42 kinase 1 ~~ACK-1  ~~Tyrosine kinase non-receptor protein 2,Homo sapiens (Human),Homo sapiens (Human),19144635
1491,O60260,PRKN_HUMAN,PRKN,PRKN~~PARK2,E3 ubiquitin-protein ligase parkin ~~Parkin ~~Parkin RBR E3 ubiquitin-protein ligase~~Parkinson juvenile disease protein 2~~Parkinson disease protein 2,Q14190,SIM2_HUMAN,SIM2,SIM2~~BHLHE15,Single-minded homolog 2 ~~Class E basic helix-loop-helix protein 15~~bHLHe15,Homo sapiens (Human),Homo sapiens (Human),17360614
1492,Q86T96,RN180_HUMAN,RNF180,RNF180,E3 ubiquitin-protein ligase RNF180 ~~RING finger protein 180~~RING-type E3 ubiquitin transferase RNF180,O95409,ZIC2_HUMAN,ZIC2,ZIC2,Zinc finger protein ZIC 2 ~~Zinc finger protein of the cerebellum 2,Homo sapiens (Human),Homo sapiens (Human),18363970
1493,Q9H4P4,RNF41_HUMAN,RNF41,RNF41~~FLRF~~NRDP1~~SBBI03,E3 ubiquitin-protein ligase NRDP1 ~~RING finger protein 41~~RING-type E3 ubiquitin transferase NRDP1,Q15303,ERBB4_HUMAN,ERBB4,ERBB4~~HER4,Receptor tyrosine-protein kinase erbB-4 ~~Proto-oncogene-like protein c-ErbB-4~~Tyrosine kinase-type cell surface receptor HER4~~p180erbB4 ,Homo sapiens (Human),Homo sapiens (Human),15314180
1494,P38398,BRCA1_HUMAN,BRCA1,BRCA1~~RNF53,Breast cancer type 1 susceptibility protein ~~RING finger protein 53~~RING-type E3 ubiquitin transferase BRCA1,Q13133,NR1H3_HUMAN,NR1H3,NR1H3~~LXRA,Oxysterols receptor LXR-alpha ~~Liver X receptor alpha~~Nuclear receptor subfamily 1 group H member 3,Homo sapiens (Human),Homo sapiens (Human),19164445
1495,P22681,CBL_HUMAN,CBL,CBL~~CBL2~~RNF55,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING finger protein 55~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,P31785,IL2RG_HUMAN,IL2RG,IL2RG,Cytokine receptor common subunit gamma ~~Interleukin-2 receptor subunit gamma~~IL-2 receptor subunit gamma~~IL-2R subunit gamma~~IL-2RG~~gammaC~~p64~~CD antigen CD132,Homo sapiens (Human),Homo sapiens (Human),16004964
1496,Q96J02,ITCH_HUMAN,ITCH,ITCH,E3 ubiquitin-protein ligase Itchy homolog ~~Itch ~~Atrophin-1-interacting protein 4~~AIP4~~HECT-type E3 ubiquitin transferase Itchy homolog~~NFE2-associated polypeptide 1~~NAPP1,P61073,CXCR4_HUMAN,CXCR4,CXCR4,C-X-C chemokine receptor type 4 ~~CXC-R4~~CXCR-4~~FB22~~Fusin~~HM89~~LCR1~~Leukocyte-derived seven transmembrane domain receptor~~LESTR~~Lipopolysaccharide-associated protein 3~~LAP-3~~LPS-associated protein 3~~NPYRL~~Stromal cell-derived factor 1 receptor~~SDF-1 receptor~~CD antigen CD184,Homo sapiens (Human),Homo sapiens (Human),14602072
1497,O43255,SIAH2_HUMAN,SIAH2,SIAH2,E3 ubiquitin-protein ligase SIAH2 ~~RING-type E3 ubiquitin transferase SIAH2~~Seven in absentia homolog 2~~Siah-2~~hSiah2,Q9H6Z9,EGLN3_HUMAN,EGLN3,EGLN3,Egl nine homolog 3 ~~HPH-1~~Hypoxia-inducible factor prolyl hydroxylase 3~~HIF-PH3~~HIF-prolyl hydroxylase 3~~HPH-3~~Prolyl hydroxylase domain-containing protein 3~~PHD3,Homo sapiens (Human),Homo sapiens (Human),16958618
1498,O43255,SIAH2_HUMAN,SIAH2,SIAH2,E3 ubiquitin-protein ligase SIAH2 ~~RING-type E3 ubiquitin transferase SIAH2~~Seven in absentia homolog 2~~Siah-2~~hSiah2,O14974,MYPT1_HUMAN,PPP1R12A,PPP1R12A~~MBS~~MYPT1,Protein phosphatase 1 regulatory subunit 12A ~~Myosin phosphatase-targeting subunit 1~~Myosin phosphatase target subunit 1~~Protein phosphatase myosin-binding subunit,Homo sapiens (Human),Homo sapiens (Human),19744480
1499,Q96F44,TRI11_HUMAN,TRIM11,TRIM11~~RNF92,E3 ubiquitin-protein ligase TRIM11 ~~Protein BIA1~~RING finger protein 92~~RING-type E3 ubiquitin transferase TRIM11~~Tripartite motif-containing protein 11,Q96RN5,MED15_HUMAN,MED15,MED15~~ARC105~~CTG7A~~PCQAP~~TIG1~~TNRC7,Mediator of RNA polymerase II transcription subunit 15 ~~Activator-recruited cofactor 105 kDa component~~ARC105~~CTG repeat protein 7a~~Mediator complex subunit 15~~Positive cofactor 2 glutamine/Q-rich-associated protein~~PC2 glutamine/Q-rich-associated protein~~TPA-inducible gene 1 protein~~TIG-1~~Trinucleotide repeat-containing gene 7 protein,Homo sapiens (Human),Homo sapiens (Human),22199232
1500,Q96F44,TRI11_HUMAN,TRIM11,TRIM11~~RNF92,E3 ubiquitin-protein ligase TRIM11 ~~Protein BIA1~~RING finger protein 92~~RING-type E3 ubiquitin transferase TRIM11~~Tripartite motif-containing protein 11,P26367,PAX6_HUMAN,PAX6,PAX6~~AN2,Paired box protein Pax-6 ~~Aniridia type II protein~~Oculorhombin,Homo sapiens (Human),Homo sapiens (Human),18628401
1501,Q68DV7,RNF43_HUMAN,RNF43,RNF43,E3 ubiquitin-protein ligase RNF43 ~~RING finger protein 43~~RING-type E3 ubiquitin transferase RNF43,Q68DV7,RNF43_HUMAN,RNF43,RNF43,E3 ubiquitin-protein ligase RNF43 ~~RING finger protein 43~~RING-type E3 ubiquitin transferase RNF43,Homo sapiens (Human),Homo sapiens (Human),18313049
1502,Q96EP1,CHFR_HUMAN,CHFR,CHFR~~RNF196,E3 ubiquitin-protein ligase CHFR ~~Checkpoint with forkhead and RING finger domains protein~~RING finger protein 196~~RING-type E3 ubiquitin transferase CHFR,Q96EP1,CHFR_HUMAN,CHFR,CHFR~~RNF196,E3 ubiquitin-protein ligase CHFR ~~Checkpoint with forkhead and RING finger domains protein~~RING finger protein 196~~RING-type E3 ubiquitin transferase CHFR,Homo sapiens (Human),Homo sapiens (Human),17442268
1503,Q5XPI4,RN123_HUMAN,RNF123,RNF123~~KPC1~~FP1477,E3 ubiquitin-protein ligase RNF123 ~~Kip1 ubiquitination-promoting complex protein 1~~RING finger protein 123~~RING-type E3 ubiquitin transferase RNF123,P46527,CDN1B_HUMAN,CDKN1B,CDKN1B~~KIP1,Cyclin-dependent kinase inhibitor 1B ~~Cyclin-dependent kinase inhibitor p27~~p27Kip1,Homo sapiens (Human),Homo sapiens (Human),15531880
1504,Q13049,TRI32_HUMAN,TRIM32,TRIM32~~HT2A,E3 ubiquitin-protein ligase TRIM32 ~~72 kDa Tat-interacting protein~~RING-type E3 ubiquitin transferase TRIM32~~Tripartite motif-containing protein 32~~Zinc finger protein HT2A,Q9NYB9,ABI2_HUMAN,ABI2,ABI2~~ARGBPIA,Abl interactor 2 ~~Abelson interactor 2~~Abi-2~~Abl-binding protein 3~~AblBP3~~Arg-binding protein 1~~ArgBP1,Homo sapiens (Human),Homo sapiens (Human),18632609
1505,Q05086,UBE3A_HUMAN,UBE3A,UBE3A~~E6AP~~EPVE6AP~~HPVE6A,Ubiquitin-protein ligase E3A ~~E6AP ubiquitin-protein ligase~~HECT-type ubiquitin transferase E3A~~Human papillomavirus E6-associated protein~~Oncogenic protein-associated protein E6-AP~~Renal carcinoma antigen NY-REN-54,P33993,MCM7_HUMAN,MCM7,MCM7~~CDC47~~MCM2,DNA replication licensing factor MCM7 ~~CDC47 homolog~~P1.1-MCM3,Homo sapiens (Human),Homo sapiens (Human),9852095
1506,O43791,SPOP_HUMAN,SPOP,SPOP,Speckle-type POZ protein ~~HIB homolog 1~~Roadkill homolog 1,O75367,H2AY_HUMAN,MACROH2A1,MACROH2A1~~H2AFY,Core histone macro-H2A.1 ~~Histone macroH2A1~~mH2A1~~Histone H2A.y~~H2A/y~~Medulloblastoma antigen MU-MB-50.205,Homo sapiens (Human),Homo sapiens (Human),15897469
1507,Q13490,BIRC2_HUMAN,BIRC2,BIRC2~~API1~~MIHB~~RNF48,Baculoviral IAP repeat-containing protein 2 ~~Cellular inhibitor of apoptosis 1~~C-IAP1~~IAP homolog B~~Inhibitor of apoptosis protein 2~~hIAP-2~~hIAP2~~RING finger protein 48~~RING-type E3 ubiquitin transferase BIRC2~~TNFR2-TRAF-signaling complex protein 2,Q99558,M3K14_HUMAN,MAP3K14,MAP3K14~~NIK,Mitogen-activated protein kinase kinase kinase 14 ~~NF-kappa-beta-inducing kinase~~HsNIK~~Serine/threonine-protein kinase NIK,Homo sapiens (Human),Homo sapiens (Human),18022362
1508,Q9UKV5,AMFR_HUMAN,AMFR,AMFR~~RNF45,E3 ubiquitin-protein ligase AMFR ~~Autocrine motility factor receptor~~AMF receptor~~RING finger protein 45~~RING-type E3 ubiquitin transferase AMFR~~gp78,P27701,CD82_HUMAN,CD82,CD82~~KAI1~~SAR2~~ST6~~TSPAN27,CD82 antigen ~~C33 antigen~~IA4~~Inducible membrane protein R2~~Metastasis suppressor Kangai-1~~Suppressor of tumorigenicity 6 protein~~Tetraspanin-27~~Tspan-27~~CD antigen CD82,Homo sapiens (Human),Homo sapiens (Human),18037895
1509,P19474,RO52_HUMAN,TRIM21,TRIM21~~RNF81~~RO52~~SSA1,E3 ubiquitin-protein ligase TRIM21 ~~52 kDa Ro protein~~52 kDa ribonucleoprotein autoantigen Ro/SS-A~~RING finger protein 81~~RING-type E3 ubiquitin transferase TRIM21~~RoSS-A~~Sjoegren syndrome type A antigen~~SS-A~~Tripartite motif-containing protein 21,Q14653,IRF3_HUMAN,IRF3,IRF3,Interferon regulatory factor 3 ~~IRF-3,Homo sapiens (Human),Homo sapiens (Human),18641315
1510,P22681,CBL_HUMAN,CBL,CBL~~CBL2~~RNF55,E3 ubiquitin-protein ligase CBL ~~Casitas B-lineage lymphoma proto-oncogene~~Proto-oncogene c-Cbl~~RING finger protein 55~~RING-type E3 ubiquitin transferase CBL~~Signal transduction protein CBL,Q9UGK3,STAP2_HUMAN,STAP2,STAP2~~BKS,Signal-transducing adaptor protein 2 ~~STAP-2~~Breast tumor kinase substrate~~BRK substrate,Homo sapiens (Human),Homo sapiens (Human),19401194
1511,Q13309,SKP2_HUMAN,SKP2,SKP2~~FBXL1,S-phase kinase-associated protein 2 ~~Cyclin-A/CDK2-associated protein p45~~F-box protein Skp2~~F-box/LRR-repeat protein 1~~p45skp2,P10244,MYBB_HUMAN,MYBL2,MYBL2~~BMYB,Myb-related protein B ~~B-Myb~~Myb-like protein 2,Homo sapiens (Human),Homo sapiens (Human),10871850
1512,Q05086,UBE3A_HUMAN,UBE3A,UBE3A~~E6AP~~EPVE6AP~~HPVE6A,Ubiquitin-protein ligase E3A ~~E6AP ubiquitin-protein ligase~~HECT-type ubiquitin transferase E3A~~Human papillomavirus E6-associated protein~~Oncogenic protein-associated protein E6-AP~~Renal carcinoma antigen NY-REN-54,P37840,SYUA_HUMAN,SNCA,SNCA~~NACP~~PARK1,Alpha-synuclein ~~Non-A beta component of AD amyloid~~Non-A4 component of amyloid precursor~~NACP,Homo sapiens (Human),Homo sapiens (Human),19645749
1513,Q9ULV8,CBLC_HUMAN,CBLC,CBLC~~CBL3~~RNF57,E3 ubiquitin-protein ligase CBL-C ~~RING finger protein 57~~RING-type E3 ubiquitin transferase CBL-C~~SH3-binding protein CBL-3~~SH3-binding protein CBL-C~~Signal transduction protein CBL-C,P00533,EGFR_HUMAN,EGFR,EGFR~~ERBB~~ERBB1~~HER1,Epidermal growth factor receptor ~~Proto-oncogene c-ErbB-1~~Receptor tyrosine-protein kinase erbB-1,Homo sapiens (Human),Homo sapiens (Human),22199232
1514,O15164,TIF1A_HUMAN,TRIM24,TRIM24~~RNF82~~TIF1~~TIF1A,Transcription intermediary factor 1-alpha ~~TIF1-alpha ~~E3 ubiquitin-protein ligase TRIM24~~RING finger protein 82~~RING-type E3 ubiquitin transferase TIF1-alpha~~Tripartite motif-containing protein 24,P04637,P53_HUMAN,TP53,TP53~~P53,Cellular tumor antigen p53 ~~Antigen NY-CO-13~~Phosphoprotein p53~~Tumor suppressor p53,Homo sapiens (Human),Homo sapiens (Human),19844164
1515,Q9NYG5,APC11_HUMAN,ANAPC11,ANAPC11~~HSPC214,Anaphase-promoting complex subunit 11 ~~APC11~~Cyclosome subunit 11~~Hepatocellular carcinoma-associated RING finger protein,P14635,CCNB1_HUMAN,CCNB1,CCNB1~~CCNB,G2/mitotic-specific cyclin-B1,Homo sapiens (Human),Homo sapiens (Human),22199232
1516,Q9NYG5,APC11_HUMAN,ANAPC11,ANAPC11~~HSPC214,Anaphase-promoting complex subunit 11 ~~APC11~~Cyclosome subunit 11~~Hepatocellular carcinoma-associated RING finger protein,Q9NQW6,ANLN_HUMAN,ANLN,ANLN,Anillin,Homo sapiens (Human),Homo sapiens (Human),22199232
1517,Q9NYG5,APC11_HUMAN,ANAPC11,ANAPC11~~HSPC214,Anaphase-promoting complex subunit 11 ~~APC11~~Cyclosome subunit 11~~Hepatocellular carcinoma-associated RING finger protein,O75496,GEMI_HUMAN,GMNN,GMNN,Geminin,Homo sapiens (Human),Homo sapiens (Human),22199232
1518,Q9Y4X5,ARI1_HUMAN,ARIH1,ARIH1~~ARI~~MOP6~~UBCH7BP~~HUSSY-27,E3 ubiquitin-protein ligase ARIH1 ~~H7-AP2~~HHARI~~Monocyte protein 6~~MOP-6~~Protein ariadne-1 homolog~~ARI-1~~UbcH7-binding protein~~UbcM4-interacting protein~~Ubiquitin-conjugating enzyme E2-binding protein 1,Q14190,SIM2_HUMAN,SIM2,SIM2~~BHLHE15,Single-minded homolog 2 ~~Class E basic helix-loop-helix protein 15~~bHLHe15,Homo sapiens (Human),Homo sapiens (Human),22199232
1519,Q9Y4X5,ARI1_HUMAN,ARIH1,ARIH1~~ARI~~MOP6~~UBCH7BP~~HUSSY-27,E3 ubiquitin-protein ligase ARIH1 ~~H7-AP2~~HHARI~~Monocyte protein 6~~MOP-6~~Protein ariadne-1 homolog~~ARI-1~~UbcH7-binding protein~~UbcM4-interacting protein~~Ubiquitin-conjugating enzyme E2-binding protein 1,O60573,IF4E2_HUMAN,EIF4E2,EIF4E2~~EIF4EL3,Eukaryotic translation initiation factor 4E type 2 ~~eIF-4E type 2~~eIF4E type 2~~Eukaryotic translation initiation factor 4E homologous protein~~Eukaryotic translation initiation factor 4E-like 3~~eIF4E-like protein 4E-LP~~mRNA cap-binding protein 4EHP~~h4EHP~~mRNA cap-binding protein type 3,Homo sapiens (Human),Homo sapiens (Human),14623119
